 time,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0,3828.717855,4245.640922,4588.717837,4192.30759,3773.333241,4338.461432,4015.384517,4190.769128,4323.589638,4013.333235,4286.666562,4248.205024,4407.6922,4210.769128
0.0078125,3828.717855,4245.640922,4588.717837,4192.30759,3773.333241,4338.461432,4015.384517,4190.769128,4323.589638,4013.333235,4286.666562,4248.205024,4407.6922,4210.769128
0.015625,3828.205035,4240.512717,4588.717837,4187.692205,3767.692216,4339.487073,4025.128107,4194.871692,4322.563997,4014.871697,4286.153741,4244.615281,4407.6922,4210.769128
0.0234375,3829.743496,4240.512717,4586.666555,4181.025539,3768.205036,4337.948612,4025.128107,4200.512718,4322.563997,4012.307594,4280.512716,4244.615281,4401.538354,4214.871692
0.03125,3823.07683,4237.435794,4576.922965,4174.871693,3775.384523,4341.025535,4018.974261,4199.999897,4326.15374,4008.717851,4275.384511,4238.974255,4392.820405,4207.692205
0.0390625,3819.487086,4236.922973,4572.820401,4170.256308,3771.79478,4346.66656,4022.051184,4202.051179,4326.15374,4008.717851,4275.384511,4236.922973,4391.794764,4202.564
0.046875,3824.102471,4240.512717,4575.384504,4171.281949,3764.615293,4346.15374,4028.71785,4207.179384,4328.205022,4014.871697,4283.589639,4242.051178,4399.999892,4212.82041
0.0546875,3833.33324,4245.640922,4581.025529,4178.461436,3772.3076,4343.589637,4024.102466,4204.615282,4329.743484,4017.435799,4289.743485,4250.769127,4405.640918,4225.128102
0.0625,3838.974265,4251.281947,4585.640914,4187.179385,3783.076831,4339.999894,4014.871697,4194.358872,4323.076817,4010.256312,4287.179382,4254.35887,4405.640918,4225.640922
0.0703125,3841.538368,4258.461434,4593.333221,4193.846051,3777.435805,4332.307586,4012.820415,4185.128103,4316.410151,4001.025543,4283.589639,4256.410152,4403.076815,4223.58964
0.078125,3842.051188,4266.666562,4602.56399,4198.974256,3768.205036,4328.205022,4016.410158,4183.076821,4318.461433,4002.564005,4289.230664,4263.076819,4402.563995,4228.205025
0.0859375,3848.205034,4271.794767,4607.179375,4209.230666,3768.717857,4327.179381,4018.974261,4187.179385,4322.563997,4010.256312,4294.87169,4272.307588,4406.153738,4231.794768
0.09375,3852.820419,4272.820408,4607.179375,4220.512717,3765.640934,4319.487074,4021.538363,4194.871692,4326.666561,4014.871697,4292.820408,4274.35887,4406.153738,4231.794768
0.1015625,3850.256316,4270.256306,4604.615272,4220.512717,3757.435806,4313.846048,4027.179389,4204.615282,4328.205022,4015.897338,4289.743485,4269.743485,4399.487072,4229.230666
0.109375,3840.512727,4263.076819,4601.025529,4211.281948,3752.307601,4318.461433,4031.281953,4211.794769,4324.615279,4014.358876,4289.743485,4266.666562,4394.871687,4223.58964
0.1171875,3833.33324,4257.435793,4597.435785,4202.564,3747.179396,4321.025535,4030.769132,4216.410153,4324.102458,4015.384517,4289.743485,4265.640921,4394.871687,4217.948615
0.125,3834.871701,4258.974255,4594.358862,4196.410154,3745.640934,4317.435792,4028.71785,4211.794769,4327.179381,4016.922979,4284.102459,4262.051178,4389.230662,4213.846051
0.1328125,3837.435804,4260.512716,4589.230657,4193.846051,3750.256319,4321.538356,4031.794773,4206.153743,4326.666561,4018.46144,4282.051177,4258.974255,4385.128098,4214.871692
0.140625,3835.384522,4261.538357,4590.769119,4191.281949,3748.205037,4332.307586,4038.46144,4212.307589,4328.717843,4017.94862,4287.179382,4262.563998,4387.17938,4217.948615
0.1484375,3834.358881,4263.076819,4593.333221,4183.589641,3750.769139,4333.846048,4038.46144,4219.999897,4332.820407,4019.487081,4290.769126,4264.10246,4390.769123,4220.512717
0.15625,3835.384522,4256.922973,4591.281939,4171.79477,3766.153754,4323.589638,4029.230671,4206.666564,4327.692202,4019.999902,4289.743485,4262.563998,4393.333226,4221.025538
0.1640625,3837.948624,4253.333229,4588.205016,4169.230667,3774.871703,4320.512715,4025.640927,4189.743487,4320.512715,4014.871697,4290.256305,4261.025537,4393.333226,4228.717845
0.171875,3846.153752,4256.410152,4597.435785,4174.871693,3766.153754,4324.102458,4021.538363,4191.281949,4318.974253,4009.230671,4292.307587,4264.61528,4392.820405,4242.051178
