西暦,熊本市,八代市,人吉市,荒尾市,水俣市,玉名市,山鹿市,菊池市,宇土市,上天草市,宇城市,阿蘇市,天草市,合志市
2014,739628,129447,34496,54119,25983,68246,53580,49034,37328,28129,60568,27497,84742,57575
2015,740289,128507,33976,53696,25648,67535,52876,48698,37345,27556,60051,27191,83306,58297
2016,741193,127383,33799,53396,25359,66741,52176,48111,37077,26904,59688,26963,82501,58542
2017,739813,126737,33446,52928,24968,66365,51698,47773,36697,26322,59082,26560,80903,59554
2018,740282,125840,32985,52432,24578,66018,51079,47466,36510,25720,58517,26123,79396,60424
2019,740068,124827,32504,51827,24191,65390,50300,47141,36452,25111,58259,25785,78014,61093
2020,739663,123490,32115,51241,23754,64980,49660,46658,36150,24552,57724,25266,76528,61521
2021,738959,122998,30966,50676,23452,64196,48839,46351,36124,24531,56941,24828,75534,61855
2022,737969,121508,30544,50009,22941,63491,48093,45791,35783,23936,56566,24559,73965,62515
2023,737721,120146,30152,49455,22405,62816,47440,45471,35698,23299,56137,24089,72386,63289
